시도명,구명,동명,면적_km2,구성비_percent,행정동_수,법정동_수
서울시,동작구,사당5동,0.57,0.09,1.0,0
서울시,동작구,대방동,1.55,0.26,1.0,1
서울시,동작구,신대방1동,0.62,0.1,1.0,1
서울시,동작구,신대방2동,1.03,0.17,1.0,0
서울시,동작구,흑석동,1.68,0.28,1.0,1
서울시,동작구,노량진1동,1.58,0.26,1.0,2
서울시,동작구,사당2동,2.75,0.45,1.0,2
서울시,관악구,소계,29.57,4.89,21.0,3
서울시,관악구,보라매동,0.76,0.13,1.0,1
서울시,관악구,청림동,0.3,0.05,1.0,0
서울시,관악구,행운동,0.72,0.12,1.0,0
서울시,관악구,낙성대동,2.27,0.38,1.0,0
서울시,관악구,중앙동,0.39,0.06,1.0,0
서울시,관악구,인헌동,1.08,0.18,1.0,0
서울시,관악구,남현동,3.27,0.54,1.0,1
서울시,관악구,서원동,0.65,0.11,1.0,0
서울시,관악구,신원동,0.55,0.09,1.0,1
서울시,관악구,서림동,0.99,0.16,1.0,0
서울시,관악구,신사동,0.64,0.11,1.0,0
서울시,관악구,신림동,0.54,0.09,1.0,0
서울시,관악구,난향동,0.8,0.13,1.0,0
서울시,관악구,조원동,0.67,0.11,1.0,0
서울시,관악구,대학동,8.3,1.37,1.0,0
서울시,관악구,은천동,0.78,0.13,1.0,0
서울시,관악구,성현동,0.68,0.11,1.0,0
서울시,관악구,청룡동,1.18,0.19,1.0,0
서울시,관악구,난곡동,0.96,0.16,1.0,0
서울시,관악구,삼성동,2.66,0.44,1.0,0
서울시,관악구,미성동,1.38,0.23,1.0,0
서울시,서초구,소계,46.97,7.76,18.0,10
서울시,서초구,서초1동,1.42,0.23,1.0,0
서울시,서초구,서초2동,1.24,0.2,1.0,0
서울시,서초구,서초3동,2.93,0.48,1.0,2
서울시,서초구,서초4동,0.88,0.15,1.0,0
서울시,서초구,잠원동,1.76,0.29,1.0,1
서울시,서초구,반포본동,1.01,0.17,1.0,0
